Comment,Time
"This is chilling abuse that government is imposing on women and girls. I’m a mother and grandmother, so I know that my right to choose whether or not to continue with a pregnancy and give birth is absolutely no-one’s business apart from the woman’s (or girl’s-sometimes very young and very abused girls). How could it be otherwise? Meanwhile right-wingers’ indifference to the lives of absolutely everyone who’s actually been born shows that this has absolutely nothing to do with the supposed “right to life”. It’s just yet another hypocritical way of justifying their wish to control women, our bodies, and our self-determination.",2022-04-17T18:21:46Z
"I got an idea to put some fire under the Republicans behinds for understanding how absurd they are... how about we begin imprisoning the men who impregnate a woman who wants an abortion. ''Not that I think this is any better, just so they have to see it from a different perspective.",2022-04-17T18:07:07Z
"Disgusting how America is going backwards in so many ways since DT.He has allowed this poison to spread.Abortion is as old as prostitution.Women lost their lives due to dirty back yard abortions or by trying to do it themselves.They don’t use it as a form of birth control particularly since the pill and the day after pill.I am 68 and glad l have never had to make that choice but l know l would have chosen one in the right circumstances.Can’t help but feel for Judge Ruth!Also,Ms Jackson on the Supreme CRT will have her work cut out for her.Thomas should be taken off the crt due to the texts discovered on his phone to Meadows and implicating him.Garland better do something or the US will lose its democracy which will affect the whole 'http://world.love/"">world.Love' your show David and to hear you critically thinking 😊🇦🇺🇦🇺",2022-04-17T18:06:40Z
That Trump story feels like a 'Its true I was there' moment.  The joke is you were never there.,2022-04-17T18:04:46Z
Republicans that support these abortion bans are monsters.. Forcing someone who doesn’t want a child to give birth is insane..,2022-04-17T17:44:09Z
The idiocy of these neo abortion laws will soon become self evident to almost everyone.  Even some of the staunchest pro-lifers.,2022-04-17T17:43:03Z
Thought charges were dropped?,2022-04-17T17:42:50Z
'What happened?'''I'm being punished for having a miscarriage',2022-04-17T17:36:18Z
Yes it’s time to move. Been planning it for years. I gotta escape this state before someone’s “had enough” of the trans people.,2022-04-17T17:28:04Z
"Today's Rhetorical Question:  why didn't Texas also arrest, as an accessory to the crime,  the man who caused the unwanted pregnancy in the first place?",2022-04-17T17:22:11Z
"Just out of interest here, as a non-American trying desperately to understand this toxic fart-cloud of Repugnican 'thinking'... if you're going to start actually 'punishing' people for abortion - are you also going to punish the MEN who get the women pregnant in the first place, but then either persuade the women to have the abortion or just squeal 'Aw, hell naw!' and hightail it out of there, never to be seen again? Because they're just as guilty of abandoning the fetus as well, aren't they? I dunno... I'm getting this weird feeling that's an extension to that kind of law they just haven't devoted much thought to yet... 🤨",2022-04-17T17:11:18Z
"These 'pro lifers' only want more babies born so they can brainwash them into their respective cults. Christianity being the biggest.  If they were really 'Pro Life' they'd want medical, ubi, child care clauses, but they don't. They only care about expanding their cults. And until the world starts looking at it this way nothing is going to change. Step away from religion. Do the right thing for once without being told by an imaginary father figure to do it.",2022-04-17T17:05:59Z
"In Ireland they had held a citizen assembly so the CITIZENS could decide on abortions. Why do allow rich, old (mostly male) politicians decide on a moral dilemma?",2022-04-17T16:58:04Z
Want to see the antiabortion laws stopped... Simple...'Have all the women stop having sex until they can legally have abortions again...  They simply tell the men sex is too risky with the potential of jail as a result... 'Second women who are forced to have an unwanted child should sue the state  for support....,2022-04-17T16:57:52Z
I can’t even imagine having to go through an abortion and being charged with murder on the other side,2022-04-17T16:42:51Z
Pretty sure IQ-45 has paid for some abortions himself . Hypocrisy at its finest!!!,2022-04-17T16:36:13Z
Crime in Houston is borderline Chicago style yet this is more important 'Let's have more criminals,2022-04-17T16:25:11Z
Republican men telling woman !  What a joke!,2022-04-17T16:12:04Z
"Christian fascists are behind all this crap, KEEP RELIGION OUT OF POLITICS!!!!!!!!!!!",2022-04-17T16:11:07Z
This is the party of small govt AND stay out of my business,2022-04-17T15:57:21Z
"When, WHEN will these conversations include the gross irresponsibility of the males when it comes to conception.",2022-04-17T15:51:29Z
"If ya'll kill a person, ya'll go to jail.",2022-04-17T15:41:49Z
David what about the men? When are the men going to be punished? Is it not because of men that woman get pregnant in the first place. I say that if woman are going to be punished then the man that got them pregnant in the first place should suffer to. Hope to hear from you.,2022-04-17T15:18:05Z
the pro life people........................ who kill the child later in the streets by police........................... then suddenly they do  not care about life,2022-04-17T14:57:15Z
Every civilization starts sacrifice baby's.,2022-04-17T14:37:12Z
If men could get pregnant abortions would available in a drive thru with fries.,2022-04-17T14:32:50Z
The punishment in Texas for getting an abortion is far greater than their punishment for straight up killing an already born and surviving infant,2022-04-17T14:19:14Z
And then there's Missouri with their death sentence for women making the CHOICE to go the ectopic route with their pregnancy.,2022-04-17T14:14:41Z
"On Texas - if kind people living in strongly Democrat areas have the option, rather than having kind people leave Texas, surely it would be better for the kind people to leave Democrat areas in otherStates, to move to more marginally Republican parts of Texas.",2022-04-17T14:04:50Z
"What sort of people do they have in the Police Prosecutions dept, that they don't even understand their own laws?",2022-04-17T13:58:09Z
"I saw a cartoon in the newspaper the other day.  It was my thoughts exactly.  Red states will lose their tax base and corporations base due to abortion,  LGBTQ,  and education laws and move to blue states. Then blue states will have to send all of their federal taxes to red states to support them.",2022-04-17T13:48:20Z
Of course women of color and poor are being punished. Let's see what happens when a white woman has an abortion.  Those are usually in secret.,2022-04-17T13:44:21Z
"WTF is wrong with these people who, instead of using one or more of the many methods of birth control, get pregnant and then turn to abortion?",2022-04-17T13:43:32Z
"As the Republicans will scream 'Those terrible Democrats want to take away you're rights'  they take away the rights of women to own their own bodies, and take away everyone's right to freedom of religion. Ask a Republican/Nazi 'What rights specifically have Democrats taken away?' and all they ever say is 'Lots of them.'",2022-04-17T13:43:01Z
Every time a man relieves himself on his stomach he should be charged with mass murder,2022-04-17T13:39:41Z
Well David keep simping for Trump rallies and keeping him relevant instead of researching their policies that are hurting real people in real time bc you know making fun of Trump's ridiculous ravings of a lunatic is more important. So what are you going to do with your platform to call these people out instead of oh the Dems are going to lose oh well. These are not normal times and I know you make a shit ton of cash airing Trump but that's not what's important.,2022-04-17T13:39:08Z
That's why I moved!!!! Texas is going to far off the rails!!,2022-04-17T13:33:33Z
"Was it HIS kid?!?  In Trump's defense, he thought the March for Life was about making him king.",2022-04-17T13:28:07Z
