Comment,no_symbols,no_punctuation_and_symbols,no_urls,no_urls2,lower_case,expanded_contractions,expanded_contractions2,spelling,spelling2,tokens,lemmas,lemmas_no_stopwords
"and, she’s non-white! probably couldn’t afford to go out of state to have an abortion! racist and attacks the poor! pathetic, texas!","and, she’s non-white! probably couldn’t afford to go out of state to have an abortion! racist and attacks the poor! pathetic, texas!",and shes nonwhite probably couldnt afford to go out of state to have an abortion racist and attacks the poor pathetic texas,"and, she’s non-white! probably couldn’t afford to go out of state to have an abortion! racist and attacks the poor! pathetic, texas!",and shes nonwhite probably couldnt afford to go out of state to have an abortion racist and attacks the poor pathetic texas,and shes nonwhite probably couldnt afford to go out of state to have an abortion racist and attacks the poor pathetic texas,and she is nonwhite probably could not afford to go out of state to have an abortion racist and attacks the poor pathetic texas ,"and, she’s non-white! probably couldn’t afford to go out of state to have an abortion! racist and attacks the poor! pathetic, texas! ",and she is nonwhite probably could not afford to go out of state to have an abortion racist and attacks the poor pathetic texas ,"and, she’s non-white! probably couldn’t afford to go out of state to have an abortion! racist and attacks the poor! pathetic, texas! ","['and', 'she', 'is', 'nonwhite', 'probably', 'could', 'not', 'afford', 'to', 'go', 'out', 'of', 'state', 'to', 'have', 'an', 'abortion', 'racist', 'and', 'attacks', 'the', 'poor', 'pathetic', 'texas']","['and', 'she', 'is', 'nonwhite', 'probably', 'could', 'not', 'afford', 'to', 'go', 'out', 'of', 'state', 'to', 'have', 'an', 'abortion', 'racist', 'and', 'attack', 'the', 'poor', 'pathetic', 'texas']","['nonwhite', 'probably', 'could', 'afford', 'go', 'state', 'abortion', 'racist', 'attack', 'poor', 'pathetic', 'texas']"
Wtf 🤯🤬🤬🤬🤬🤬🤬,Wtf 🤯🤬🤬🤬🤬🤬🤬,Wtf ,Wtf 🤯🤬🤬🤬🤬🤬🤬,Wtf ,wtf ,wtf ,Wtf 🤯🤬🤬🤬🤬🤬🤬 ,wtf ,Wtf 🤯🤬🤬🤬🤬🤬🤬 ,['wtf'],['wtf'],['wtf']
Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong.,Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong.,Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong,Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong.,Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong,luckily the da dropped the charges but the fact that she was charged with murder in the first place is wrong,luckily the da dropped the charges but the fact that she was charged with murder in the first place is wrong ,Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong. ,luckily the da dropped the charges but the fact that she was charged with murder in the first place is wrong ,Luckily the DA dropped the charges but the fact that she was charged with murder in the first place is wrong. ,"['luckily', 'the', 'da', 'dropped', 'the', 'charges', 'but', 'the', 'fact', 'that', 'she', 'was', 'charged', 'with', 'murder', 'in', 'the', 'first', 'place', 'is', 'wrong']","['luckily', 'the', 'da', 'dropped', 'the', 'charge', 'but', 'the', 'fact', 'that', 'she', 'wa', 'charged', 'with', 'murder', 'in', 'the', 'first', 'place', 'is', 'wrong']","['luckily', 'da', 'dropped', 'charge', 'fact', 'wa', 'charged', 'murder', 'first', 'place', 'wrong']"
Good.,Good.,Good,Good.,Good,good,good ,Good. ,good ,Good. ,['good'],['good'],['good']
"Everyone knows, at some point, with all of his affairs has had an abortion or two, or three.  F%'K Trump.","Everyone knows, at some point, with all of his affairs has had an abortion or two, or three.  F%'K Trump.",Everyone knows at some point with all of his affairs has had an abortion or two or three  FK Trump,"Everyone knows, at some point, with all of his affairs has had an abortion or two, or three.  F%'K Trump.",Everyone knows at some point with all of his affairs has had an abortion or two or three  FK Trump,everyone knows at some point with all of his affairs has had an abortion or two or three  fk trump,everyone knows at some point with all of his affairs has had an abortion or two or three fk trump ,"Everyone knows, at some point, with all of his affairs has had an abortion or two, or three. F%'K Trump. ",everyone knows at some point with all of his affairs has had an abortion or two or three fk trump ,"Everyone knows, at some point, with all of his affairs has had an abortion or two, or three. F%'K Trump. ","['everyone', 'knows', 'at', 'some', 'point', 'with', 'all', 'of', 'his', 'affairs', 'has', 'had', 'an', 'abortion', 'or', 'two', 'or', 'three', 'fk', 'trump']","['everyone', 'know', 'at', 'some', 'point', 'with', 'all', 'of', 'his', 'affair', 'ha', 'had', 'an', 'abortion', 'or', 'two', 'or', 'three', 'fk', 'trump']","['everyone', 'know', 'point', 'affair', 'ha', 'abortion', 'two', 'three', 'fk', 'trump']"
Texas is basically like Russia now...,Texas is basically like Russia now...,Texas is basically like Russia now,Texas is basically like Russia now...,Texas is basically like Russia now,texas is basically like russia now,texas is basically like russia now ,Texas is basically like Russia now... ,texas is basically like russia now ,Texas is basically like Russia now... ,"['texas', 'is', 'basically', 'like', 'russia', 'now']","['texas', 'is', 'basically', 'like', 'russia', 'now']","['texas', 'basically', 'like', 'russia']"
"Stop saying your savings the women's life,as you now and your church OWNS the women bodies.'You Abbott now own every women's body, it's not there s, anymore, it's your Christ Jesus and God, the church Wins and woman lose, and your Men in your state is. 'http://gays.you/"">GAYs.you' said that desantis and Tucker and Abbott.","Stop saying your savings the women's life,as you now and your church OWNS the women bodies.'You Abbott now own every women's body, it's not there s, anymore, it's your Christ Jesus and God, the church Wins and woman lose, and your Men in your state is. 'http://gays.you/"">GAYs.you' said that desantis and Tucker and Abbott.",Stop saying your savings the womens lifeas you now and your church OWNS the women bodiesYou Abbott now own every womens body its not there s anymore its your Christ Jesus and God the church Wins and woman lose and your Men in your state is httpgaysyouGAYsyou said that desantis and Tucker and Abbott,"Stop saying your savings the women's life,as you now and your church OWNS the women bodies.'You Abbott now own every women's body, it's not there s, anymore, it's your Christ Jesus and God, the church Wins and woman lose, and your Men in your state is.  said that desantis and Tucker and Abbott.",Stop saying your savings the womens lifeas you now and your church OWNS the women bodiesYou Abbott now own every womens body its not there s anymore its your Christ Jesus and God the church Wins and woman lose and your Men in your state is  said that desantis and Tucker and Abbott,stop saying your savings the womens lifeas you now and your church owns the women bodiesyou abbott now own every womens body its not there s anymore its your christ jesus and god the church wins and woman lose and your men in your state is  said that desantis and tucker and abbott,stop saying your savings the womens lifeas you now and your church owns the women bodiesyou abbott now own every womens body it is not there s anymore it is your christ jesus and god the church wins and woman lose and your men in your state is said that desantis and tucker and abbott ,"Stop saying your savings the women's life,as you now and your church OWNS the women bodies.'You Abbott now own every women's body, it's not there s, anymore, it's your Christ Jesus and God, the church Wins and woman lose, and your Men in your state is. said that desantis and Tucker and Abbott. ",stop saying your savings the womens lifeas you now and your church owns the women bodiesyou abbott now own every womens body it is not there s anymore it is your christ jesus and god the church wins and woman lose and your men in your state is said that desantis and tucker and abbott ,"Stop saying your savings the women's life,as you now and your church OWNS the women bodies.'You Abbott now own every women's body, it's not there s, anymore, it's your Christ Jesus and God, the church Wins and woman lose, and your Men in your state is. said that desantis and Tucker and Abbott. ","['stop', 'saying', 'your', 'savings', 'the', 'womens', 'lifeas', 'you', 'now', 'and', 'your', 'church', 'owns', 'the', 'women', 'bodiesyou', 'abbott', 'now', 'own', 'every', 'womens', 'body', 'it', 'is', 'not', 'there', 's', 'anymore', 'it', 'is', 'your', 'christ', 'jesus', 'and', 'god', 'the', 'church', 'wins', 'and', 'woman', 'lose', 'and', 'your', 'men', 'in', 'your', 'state', 'is', 'said', 'that', 'desantis', 'and', 'tucker', 'and', 'abbott']","['stop', 'saying', 'your', 'saving', 'the', 'woman', 'lifeas', 'you', 'now', 'and', 'your', 'church', 'owns', 'the', 'woman', 'bodiesyou', 'abbott', 'now', 'own', 'every', 'woman', 'body', 'it', 'is', 'not', 'there', 's', 'anymore', 'it', 'is', 'your', 'christ', 'jesus', 'and', 'god', 'the', 'church', 'win', 'and', 'woman', 'lose', 'and', 'your', 'men', 'in', 'your', 'state', 'is', 'said', 'that', 'desantis', 'and', 'tucker', 'and', 'abbott']","['stop', 'saying', 'saving', 'woman', 'lifeas', 'church', 'owns', 'woman', 'bodiesyou', 'abbott', 'every', 'woman', 'body', 'anymore', 'christ', 'jesus', 'god', 'church', 'win', 'woman', 'lose', 'men', 'state', 'said', 'desantis', 'tucker', 'abbott']"
This fascism by these far-right misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock.,This fascism by these far-right misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock.,This fascism by these farright misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock,This fascism by these far-right misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock.,This fascism by these farright misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock,this fascism by these farright misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock,this fascism by these farright misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock ,This fascism by these far-right misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock. ,this fascism by these farright misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock ,This fascism by these far-right misogynists will only stop when someone successfully passes a law arresting men for murder after they jerk off in a sock. ,"['this', 'fascism', 'by', 'these', 'farright', 'misogynists', 'will', 'only', 'stop', 'when', 'someone', 'successfully', 'passes', 'a', 'law', 'arresting', 'men', 'for', 'murder', 'after', 'they', 'jerk', 'off', 'in', 'a', 'sock']","['this', 'fascism', 'by', 'these', 'farright', 'misogynist', 'will', 'only', 'stop', 'when', 'someone', 'successfully', 'pass', 'a', 'law', 'arresting', 'men', 'for', 'murder', 'after', 'they', 'jerk', 'off', 'in', 'a', 'sock']","['fascism', 'farright', 'misogynist', 'stop', 'someone', 'successfully', 'pass', 'law', 'arresting', 'men', 'murder', 'jerk', 'sock']"
Welcome to America's version of Sharia law! Keep your stupid religion off of people's bodies! Freedom my ass!,Welcome to America's version of Sharia law! Keep your stupid religion off of people's bodies! Freedom my ass!,Welcome to Americas version of Sharia law Keep your stupid religion off of peoples bodies Freedom my ass,Welcome to America's version of Sharia law! Keep your stupid religion off of people's bodies! Freedom my ass!,Welcome to Americas version of Sharia law Keep your stupid religion off of peoples bodies Freedom my ass,welcome to americas version of sharia law keep your stupid religion off of peoples bodies freedom my ass,welcome to americas version of sharia law keep your stupid religion off of peoples bodies freedom my ass ,Welcome to America's version of Sharia law! Keep your stupid religion off of people's bodies! Freedom my ass! ,welcome to americas version of sharia law keep your stupid religion off of peoples bodies freedom my ass ,Welcome to America's version of Sharia law! Keep your stupid religion off of people's bodies! Freedom my ass! ,"['welcome', 'to', 'americas', 'version', 'of', 'sharia', 'law', 'keep', 'your', 'stupid', 'religion', 'off', 'of', 'peoples', 'bodies', 'freedom', 'my', 'ass']","['welcome', 'to', 'america', 'version', 'of', 'sharia', 'law', 'keep', 'your', 'stupid', 'religion', 'off', 'of', 'people', 'body', 'freedom', 'my', 'as']","['welcome', 'america', 'version', 'sharia', 'law', 'keep', 'stupid', 'religion', 'people', 'body', 'freedom']"
This is horrifying. I feel sick to the stomach that this is happening in your country. That poor woman. Unless you have been in her situation you have no idea what she has gone through to get to that point. Where is the responsibility on the man?  'self induced abortion' FFS this could be a miscarriage.,This is horrifying. I feel sick to the stomach that this is happening in your country. That poor woman. Unless you have been in her situation you have no idea what she has gone through to get to that point. Where is the responsibility on the man?  'self induced abortion' FFS this could be a miscarriage.,This is horrifying I feel sick to the stomach that this is happening in your country That poor woman Unless you have been in her situation you have no idea what she has gone through to get to that point Where is the responsibility on the man  self induced abortion FFS this could be a miscarriage,This is horrifying. I feel sick to the stomach that this is happening in your country. That poor woman. Unless you have been in her situation you have no idea what she has gone through to get to that point. Where is the responsibility on the man?  'self induced abortion' FFS this could be a miscarriage.,This is horrifying I feel sick to the stomach that this is happening in your country That poor woman Unless you have been in her situation you have no idea what she has gone through to get to that point Where is the responsibility on the man  self induced abortion FFS this could be a miscarriage,this is horrifying i feel sick to the stomach that this is happening in your country that poor woman unless you have been in her situation you have no idea what she has gone through to get to that point where is the responsibility on the man  self induced abortion ffs this could be a miscarriage,this is horrifying i feel sick to the stomach that this is happening in your country that poor woman unless you have been in her situation you have no idea what she has gone through to get to that point where is the responsibility on the man self induced abortion ffs this could be a miscarriage ,This is horrifying. I feel sick to the stomach that this is happening in your country. That poor woman. Unless you have been in her situation you have no idea what she has gone through to get to that point. Where is the responsibility on the man? 'self induced abortion' FFS this could be a miscarriage. ,this is horrifying i feel sick to the stomach that this is happening in your country that poor woman unless you have been in her situation you have no idea what she has gone through to get to that point where is the responsibility on the man self induced abortion ffs this could be a miscarriage ,This is horrifying. I feel sick to the stomach that this is happening in your country. That poor woman. Unless you have been in her situation you have no idea what she has gone through to get to that point. Where is the responsibility on the man? 'self induced abortion' FFS this could be a miscarriage. ,"['this', 'is', 'horrifying', 'i', 'feel', 'sick', 'to', 'the', 'stomach', 'that', 'this', 'is', 'happening', 'in', 'your', 'country', 'that', 'poor', 'woman', 'unless', 'you', 'have', 'been', 'in', 'her', 'situation', 'you', 'have', 'no', 'idea', 'what', 'she', 'has', 'gone', 'through', 'to', 'get', 'to', 'that', 'point', 'where', 'is', 'the', 'responsibility', 'on', 'the', 'man', 'self', 'induced', 'abortion', 'ffs', 'this', 'could', 'be', 'a', 'miscarriage']","['this', 'is', 'horrifying', 'i', 'feel', 'sick', 'to', 'the', 'stomach', 'that', 'this', 'is', 'happening', 'in', 'your', 'country', 'that', 'poor', 'woman', 'unless', 'you', 'have', 'been', 'in', 'her', 'situation', 'you', 'have', 'no', 'idea', 'what', 'she', 'ha', 'gone', 'through', 'to', 'get', 'to', 'that', 'point', 'where', 'is', 'the', 'responsibility', 'on', 'the', 'man', 'self', 'induced', 'abortion', 'ffs', 'this', 'could', 'be', 'a', 'miscarriage']","['horrifying', 'feel', 'sick', 'stomach', 'happening', 'country', 'poor', 'woman', 'unless', 'situation', 'idea', 'ha', 'gone', 'get', 'point', 'responsibility', 'man', 'self', 'induced', 'abortion', 'ffs', 'could', 'miscarriage']"
"Very sad that white and other shades of male texans feel they have the right to regulate a woman's body.  They can rape them, con them, abuse them, talk down to them, you name it!  Them is your sister, your aunt, your niece, your mom, your great niece and republicans think they have the right to do it, yikes.  And the Rump changes his tune whenever it gets him more bucks.  Welcome to the republicans folks, its your vote, Vote!","Very sad that white and other shades of male texans feel they have the right to regulate a woman's body.  They can rape them, con them, abuse them, talk down to them, you name it!  Them is your sister, your aunt, your niece, your mom, your great niece and republicans think they have the right to do it, yikes.  And the Rump changes his tune whenever it gets him more bucks.  Welcome to the republicans folks, its your vote, Vote!",Very sad that white and other shades of male texans feel they have the right to regulate a womans body  They can rape them con them abuse them talk down to them you name it  Them is your sister your aunt your niece your mom your great niece and republicans think they have the right to do it yikes  And the Rump changes his tune whenever it gets him more bucks  Welcome to the republicans folks its your vote Vote,"Very sad that white and other shades of male texans feel they have the right to regulate a woman's body.  They can rape them, con them, abuse them, talk down to them, you name it!  Them is your sister, your aunt, your niece, your mom, your great niece and republicans think they have the right to do it, yikes.  And the Rump changes his tune whenever it gets him more bucks.  Welcome to the republicans folks, its your vote, Vote!",Very sad that white and other shades of male texans feel they have the right to regulate a womans body  They can rape them con them abuse them talk down to them you name it  Them is your sister your aunt your niece your mom your great niece and republicans think they have the right to do it yikes  And the Rump changes his tune whenever it gets him more bucks  Welcome to the republicans folks its your vote Vote,very sad that white and other shades of male texans feel they have the right to regulate a womans body  they can rape them con them abuse them talk down to them you name it  them is your sister your aunt your niece your mom your great niece and republicans think they have the right to do it yikes  and the rump changes his tune whenever it gets him more bucks  welcome to the republicans folks its your vote vote,very sad that white and other shades of male texans feel they have the right to regulate a womans body they can rape them con them abuse them talk down to them you name it them is your sister your aunt your niece your mom your great niece and republicans think they have the right to do it yikes and the rump changes his tune whenever it gets him more bucks welcome to the republicans folks it is your vote vote ,"Very sad that white and other shades of male texans feel they have the right to regulate a woman's body. They can rape them, con them, abuse them, talk down to them, you name it! Them is your sister, your aunt, your niece, your mom, your great niece and republicans think they have the right to do it, yikes. And the Rump changes his tune whenever it gets him more bucks. Welcome to the republicans folks, it is your vote, Vote! ",very sad that white and other shades of male texans feel they have the right to regulate a womans body they can rape them con them abuse them talk down to them you name it them is your sister your aunt your niece your mom your great niece and republicans think they have the right to do it yikes and the rump changes his tune whenever it gets him more bucks welcome to the republicans folks it is your vote vote ,"Very sad that white and other shades of male texans feel they have the right to regulate a woman's body. They can rape them, con them, abuse them, talk down to them, you name it! Them is your sister, your aunt, your niece, your mom, your great niece and republicans think they have the right to do it, yikes. And the Rump changes his tune whenever it gets him more bucks. Welcome to the republicans folks, it is your vote, Vote! ","['very', 'sad', 'that', 'white', 'and', 'other', 'shades', 'of', 'male', 'texans', 'feel', 'they', 'have', 'the', 'right', 'to', 'regulate', 'a', 'womans', 'body', 'they', 'can', 'rape', 'them', 'con', 'them', 'abuse', 'them', 'talk', 'down', 'to', 'them', 'you', 'name', 'it', 'them', 'is', 'your', 'sister', 'your', 'aunt', 'your', 'niece', 'your', 'mom', 'your', 'great', 'niece', 'and', 'republicans', 'think', 'they', 'have', 'the', 'right', 'to', 'do', 'it', 'yikes', 'and', 'the', 'rump', 'changes', 'his', 'tune', 'whenever', 'it', 'gets', 'him', 'more', 'bucks', 'welcome', 'to', 'the', 'republicans', 'folks', 'it', 'is', 'your', 'vote', 'vote']","['very', 'sad', 'that', 'white', 'and', 'other', 'shade', 'of', 'male', 'texan', 'feel', 'they', 'have', 'the', 'right', 'to', 'regulate', 'a', 'woman', 'body', 'they', 'can', 'rape', 'them', 'con', 'them', 'abuse', 'them', 'talk', 'down', 'to', 'them', 'you', 'name', 'it', 'them', 'is', 'your', 'sister', 'your', 'aunt', 'your', 'niece', 'your', 'mom', 'your', 'great', 'niece', 'and', 'republican', 'think', 'they', 'have', 'the', 'right', 'to', 'do', 'it', 'yikes', 'and', 'the', 'rump', 'change', 'his', 'tune', 'whenever', 'it', 'get', 'him', 'more', 'buck', 'welcome', 'to', 'the', 'republican', 'folk', 'it', 'is', 'your', 'vote', 'vote']","['sad', 'white', 'shade', 'male', 'texan', 'feel', 'right', 'regulate', 'woman', 'body', 'rape', 'con', 'abuse', 'talk', 'name', 'sister', 'aunt', 'niece', 'mom', 'great', 'niece', 'republican', 'think', 'right', 'yikes', 'rump', 'change', 'tune', 'whenever', 'get', 'buck', 'welcome', 'republican', 'folk', 'vote', 'vote']"
This is no longer the world that I want to live in.,This is no longer the world that I want to live in.,This is no longer the world that I want to live in,This is no longer the world that I want to live in.,This is no longer the world that I want to live in,this is no longer the world that i want to live in,this is no longer the world that i want to live in ,This is no longer the world that I want to live in. ,this is no longer the world that i want to live in ,This is no longer the world that I want to live in. ,"['this', 'is', 'no', 'longer', 'the', 'world', 'that', 'i', 'want', 'to', 'live', 'in']","['this', 'is', 'no', 'longer', 'the', 'world', 'that', 'i', 'want', 'to', 'live', 'in']","['longer', 'world', 'want', 'live']"
Welcome to the land of the free.,Welcome to the land of the free.,Welcome to the land of the free,Welcome to the land of the free.,Welcome to the land of the free,welcome to the land of the free,welcome to the land of the free ,Welcome to the land of the free. ,welcome to the land of the free ,Welcome to the land of the free. ,"['welcome', 'to', 'the', 'land', 'of', 'the', 'free']","['welcome', 'to', 'the', 'land', 'of', 'the', 'free']","['welcome', 'land', 'free']"
"Texas people will do what people used to do, have a abortion and not talk about it, to no one, just do it.'Go ahead Abbott,push your Russian, Chinese people, go for it, commy, Abbott, what goes on,in Texas goes on in China too.'Stupid Nazis terrorist cult dangerous murderous Abbott,.","Texas people will do what people used to do, have a abortion and not talk about it, to no one, just do it.'Go ahead Abbott,push your Russian, Chinese people, go for it, commy, Abbott, what goes on,in Texas goes on in China too.'Stupid Nazis terrorist cult dangerous murderous Abbott,.",Texas people will do what people used to do have a abortion and not talk about it to no one just do itGo ahead Abbottpush your Russian Chinese people go for it commy Abbott what goes onin Texas goes on in China tooStupid Nazis terrorist cult dangerous murderous Abbott,"Texas people will do what people used to do, have a abortion and not talk about it, to no one, just do it.'Go ahead Abbott,push your Russian, Chinese people, go for it, commy, Abbott, what goes on,in Texas goes on in China too.'Stupid Nazis terrorist cult dangerous murderous Abbott,.",Texas people will do what people used to do have a abortion and not talk about it to no one just do itGo ahead Abbottpush your Russian Chinese people go for it commy Abbott what goes onin Texas goes on in China tooStupid Nazis terrorist cult dangerous murderous Abbott,texas people will do what people used to do have a abortion and not talk about it to no one just do itgo ahead abbottpush your russian chinese people go for it commy abbott what goes onin texas goes on in china toostupid nazis terrorist cult dangerous murderous abbott,texas people will do what people used to do have a abortion and not talk about it to no one just do itgo ahead abbottpush your russian chinese people go for it commy abbott what goes onin texas goes on in china toostupid nazis terrorist cult dangerous murderous abbott ,"Texas people will do what people used to do, have a abortion and not talk about it, to no one, just do it.'Go ahead Abbott,push your Russian, Chinese people, go for it, commy, Abbott, what goes on,in Texas goes on in China too.'Stupid Nazis terrorist cult dangerous murderous Abbott,. ",texas people will do what people used to do have a abortion and not talk about it to no one just do itgo ahead abbottpush your russian chinese people go for it commy abbott what goes onin texas goes on in china toostupid nazis terrorist cult dangerous murderous abbott ,"Texas people will do what people used to do, have a abortion and not talk about it, to no one, just do it.'Go ahead Abbott,push your Russian, Chinese people, go for it, commy, Abbott, what goes on,in Texas goes on in China too.'Stupid Nazis terrorist cult dangerous murderous Abbott,. ","['texas', 'people', 'will', 'do', 'what', 'people', 'used', 'to', 'do', 'have', 'a', 'abortion', 'and', 'not', 'talk', 'about', 'it', 'to', 'no', 'one', 'just', 'do', 'itgo', 'ahead', 'abbottpush', 'your', 'russian', 'chinese', 'people', 'go', 'for', 'it', 'commy', 'abbott', 'what', 'goes', 'onin', 'texas', 'goes', 'on', 'in', 'china', 'toostupid', 'nazis', 'terrorist', 'cult', 'dangerous', 'murderous', 'abbott']","['texas', 'people', 'will', 'do', 'what', 'people', 'used', 'to', 'do', 'have', 'a', 'abortion', 'and', 'not', 'talk', 'about', 'it', 'to', 'no', 'one', 'just', 'do', 'itgo', 'ahead', 'abbottpush', 'your', 'russian', 'chinese', 'people', 'go', 'for', 'it', 'commy', 'abbott', 'what', 'go', 'onin', 'texas', 'go', 'on', 'in', 'china', 'toostupid', 'nazi', 'terrorist', 'cult', 'dangerous', 'murderous', 'abbott']","['texas', 'people', 'people', 'used', 'abortion', 'talk', 'one', 'itgo', 'ahead', 'abbottpush', 'russian', 'chinese', 'people', 'go', 'commy', 'abbott', 'go', 'onin', 'texas', 'go', 'china', 'toostupid', 'nazi', 'terrorist', 'cult', 'dangerous', 'murderous', 'abbott']"
Retrumpliclones are the Enemies of Women and Human Beings.,Retrumpliclones are the Enemies of Women and Human Beings.,Retrumpliclones are the Enemies of Women and Human Beings,Retrumpliclones are the Enemies of Women and Human Beings.,Retrumpliclones are the Enemies of Women and Human Beings,retrumpliclones are the enemies of women and human beings,retrumpliclones are the enemies of women and human beings ,Retrumpliclones are the Enemies of Women and Human Beings. ,retrumpliclones are the enemies of women and human beings ,Retrumpliclones are the Enemies of Women and Human Beings. ,"['retrumpliclones', 'are', 'the', 'enemies', 'of', 'women', 'and', 'human', 'beings']","['retrumpliclones', 'are', 'the', 'enemy', 'of', 'woman', 'and', 'human', 'being']","['retrumpliclones', 'enemy', 'woman', 'human']"
Welcome to America. Kindly turn back your clock 70 years.,Welcome to America. Kindly turn back your clock 70 years.,Welcome to America Kindly turn back your clock  years,Welcome to America. Kindly turn back your clock 70 years.,Welcome to America Kindly turn back your clock  years,welcome to america kindly turn back your clock  years,welcome to america kindly turn back your clock years ,Welcome to America. Kindly turn back your clock 70 years. ,welcome to america kindly turn back your clock years ,Welcome to America. Kindly turn back your clock 70 years. ,"['welcome', 'to', 'america', 'kindly', 'turn', 'back', 'your', 'clock', 'years']","['welcome', 'to', 'america', 'kindly', 'turn', 'back', 'your', 'clock', 'year']","['welcome', 'america', 'kindly', 'turn', 'back', 'clock', 'year']"
JFC women's healthcare is under fire but Men can get a vasectomy and Viagra.  I just can't  . . . . . . . There's a reason I stopped being 'Christian' because this is NOT what Jesus would want.  F Texas and any of those folks.,JFC women's healthcare is under fire but Men can get a vasectomy and Viagra.  I just can't  . . . . . . . There's a reason I stopped being 'Christian' because this is NOT what Jesus would want.  F Texas and any of those folks.,JFC womens healthcare is under fire but Men can get a vasectomy and Viagra  I just cant         Theres a reason I stopped being Christian because this is NOT what Jesus would want  F Texas and any of those folks,JFC women's healthcare is under fire but Men can get a vasectomy and Viagra.  I just can't  . . . . . . . There's a reason I stopped being 'Christian' because this is NOT what Jesus would want.  F Texas and any of those folks.,JFC womens healthcare is under fire but Men can get a vasectomy and Viagra  I just cant         Theres a reason I stopped being Christian because this is NOT what Jesus would want  F Texas and any of those folks,jfc womens healthcare is under fire but men can get a vasectomy and viagra  i just cant         theres a reason i stopped being christian because this is not what jesus would want  f texas and any of those folks,jfc womens healthcare is under fire but men can get a vasectomy and viagra i just cannot there is a reason i stopped being christian because this is not what jesus would want f texas and any of those folks ,JFC women's healthcare is under fire but Men can get a vasectomy and Viagra. I just can't . . . . . . . There's a reason I stopped being 'Christian' because this is NOT what Jesus would want. F Texas and any of those folks. ,jfc womens healthcare is under fire but men can get a vasectomy and viagra i just cannot there is a reason i stopped being christian because this is not what jesus would want f texas and any of those folks ,JFC women's healthcare is under fire but Men can get a vasectomy and Viagra. I just can't . . . . . . . There's a reason I stopped being 'Christian' because this is NOT what Jesus would want. F Texas and any of those folks. ,"['jfc', 'womens', 'healthcare', 'is', 'under', 'fire', 'but', 'men', 'can', 'get', 'a', 'vasectomy', 'and', 'viagra', 'i', 'just', 'can', 'not', 'there', 'is', 'a', 'reason', 'i', 'stopped', 'being', 'christian', 'because', 'this', 'is', 'not', 'what', 'jesus', 'would', 'want', 'f', 'texas', 'and', 'any', 'of', 'those', 'folks']","['jfc', 'woman', 'healthcare', 'is', 'under', 'fire', 'but', 'men', 'can', 'get', 'a', 'vasectomy', 'and', 'viagra', 'i', 'just', 'can', 'not', 'there', 'is', 'a', 'reason', 'i', 'stopped', 'being', 'christian', 'because', 'this', 'is', 'not', 'what', 'jesus', 'would', 'want', 'f', 'texas', 'and', 'any', 'of', 'those', 'folk']","['jfc', 'woman', 'healthcare', 'fire', 'men', 'get', 'vasectomy', 'viagra', 'reason', 'stopped', 'christian', 'jesus', 'would', 'want', 'f', 'texas', 'folk']"
So now parts of USA is a religious fundamental nation. Just like Saudi Arabia. 🤢🤮 Religious laws.,So now parts of USA is a religious fundamental nation. Just like Saudi Arabia. 🤢🤮 Religious laws.,So now parts of USA is a religious fundamental nation Just like Saudi Arabia  Religious laws,So now parts of USA is a religious fundamental nation. Just like Saudi Arabia. 🤢🤮 Religious laws.,So now parts of USA is a religious fundamental nation Just like Saudi Arabia  Religious laws,so now parts of usa is a religious fundamental nation just like saudi arabia  religious laws,so now parts of usa is a religious fundamental nation just like saudi arabia religious laws ,So now parts of USA is a religious fundamental nation. Just like Saudi Arabia. 🤢🤮 Religious laws. ,so now parts of usa is a religious fundamental nation just like saudi arabia religious laws ,So now parts of USA is a religious fundamental nation. Just like Saudi Arabia. 🤢🤮 Religious laws. ,"['so', 'now', 'parts', 'of', 'usa', 'is', 'a', 'religious', 'fundamental', 'nation', 'just', 'like', 'saudi', 'arabia', 'religious', 'laws']","['so', 'now', 'part', 'of', 'usa', 'is', 'a', 'religious', 'fundamental', 'nation', 'just', 'like', 'saudi', 'arabia', 'religious', 'law']","['part', 'usa', 'religious', 'fundamental', 'nation', 'like', 'saudi', 'arabia', 'religious', 'law']"
The charges were dropped.,The charges were dropped.,The charges were dropped,The charges were dropped.,The charges were dropped,the charges were dropped,the charges we are dropped ,The charges we are dropped. ,the charges we are dropped ,The charges we are dropped. ,"['the', 'charges', 'we', 'are', 'dropped']","['the', 'charge', 'we', 'are', 'dropped']","['charge', 'dropped']"
